condpair	protein	fdr	pval	log2fc	num_peptides
Y1_VS_Y10	Q9UJX6_Homo 	0.6548071903317475	0.5762303274919378	0.09303249146427933	28
Y1_VS_Y10	Q14980_Homo 	0.02326896989545224	0.01163448494772612	-0.0012798501607750189	397
Y1_VS_Y10	Q9UKN8_Homo 	7.567755945712763e-12	2.1189716647995738e-12	0.20548466551644928	50
Y1_VS_Y10	Q8TBC4_Homo 	0.00027711201300470884	0.00010530256494178936	0.034930479291837756	33
Y1_VS_Y10	P24752_Homo 	0.10429748805516223	0.05632064354978761	-0.04720334124228861	121
Y1_VS_Y10	Q9NUQ9_Homo 	4.999999999999999e-16	1e-16	0.24807665771558055	56
Y1_VS_Y10	P08238_Homo 	1.9412091280828997e-07	6.600111035481859e-08	0.03203894872299055	256
Y1_VS_Y10	Q9UHB6_Homo 	0.5412528391145223	0.43736056391322453	-0.1276445513563255	59
Y1_VS_Y10	D6R9P3;D6RBZ0;D6RD18_Homo 	0.029364671826313055	0.01526962934968279	-0.0541625566419148	54
Y1_VS_Y10	P53221_Sacch	4.999999999999999e-16	1e-16	3.228352347435696	25
Y1_VS_Y10	O43847_Homo 	0.561824826785739	0.47193285450002076	-0.01201041009880393	191
Y1_VS_Y10	E5RJR5;P63208_Homo 	1.359482325324901e-07	4.3503434410396835e-08	0.08976815684189718	91
Y1_VS_Y10	Q9BY77_Homo 	0.4829204043170474	0.3477026911082741	0.0053376216510007245	34
Y1_VS_Y10	P51571_Homo 	0.5112271183901418	0.37830806760870495	-0.1654624692216698	14
Y1_VS_Y10	Q12213_Sacch	4.999999999999999e-16	1e-16	3.2646425860274713	37
Y1_VS_Y10	Q07864_Homo 	0.00010349058488080667	3.72566105570904e-05	0.09643814532566669	35
Y1_VS_Y10	P11277_Homo 	0.5412528391145223	0.44382732807390823	0.038882895794108606	174
Y1_VS_Y10	O60506_Homo 	1.0092936587501424e-15	2.220446049250313e-16	0.15474430255115865	144
Y1_VS_Y10	O00567_Homo 	0.15214379525262603	0.09432915305662815	-0.06665764581917107	78
Y1_VS_Y10	Q9H773_Homo 	0.8604482615914352	0.8260303311277777	0.10013321334637669	52
Y1_VS_Y10	F6RGN5_Homo 	0.0006132749041736007	0.0002575754597529123	-0.20955372894181007	15
Y1_VS_Y10	P0CX23;P0CX24_Sacch	4.999999999999999e-16	1e-16	3.1433046069648283	18
Y1_VS_Y10	P05556_Homo 	0.1312227473643078	0.07610919347129852	-0.029141558311281335	37
Y1_VS_Y10	Q9NXC5_Homo 	7.047283127429675e-08	2.1141849382289024e-08	-0.3411018464846459	18
Y1_VS_Y10	E7ERI8;E7EW49_Homo 	0.24631103322897419	0.16256528193112296	0.0049633743744543525	73
Y1_VS_Y10	Q96SU4_Homo 	0.9199835008814032	0.9199835008814032	0.016486830174655392	56
Y1_VS_Y10	O94927_Homo 	0.8284016938873666	0.7786975922541246	0.04544418580701039	15
Y1_VS_Y10	P05387_Homo 	3.4231876592609e-14	8.215650382226158e-15	0.18947581132033003	103
Y1_VS_Y10	P35221_Homo 	0.5394632944785986	0.42078136969330693	-0.05722807278707837	23
Y1_VS_Y10	C9J4Z3;P61513_Homo 	1.4005890464501975e-12	3.6415315207705135e-13	0.31961309659524206	46
Y1_VS_Y10	Q9UJX2_Homo 	4.999999999999999e-16	1e-16	0.48863621143007846	17
Y1_VS_Y10	Q53F19_Homo 	0.865605180051901	0.8482930764508629	0.005863427773704098	23
Y1_VS_Y10	P38009_Sacch	4.999999999999999e-16	1e-16	3.2074689283145053	16
Y1_VS_Y10	O00268_Homo 	0.0008985340719474595	0.00039535499165688215	0.17117189306415104	21
Y1_VS_Y10	P0CX37;P0CX38_Sacch	4.999999999999999e-16	1e-16	3.452531968040966	38
Y1_VS_Y10	Q9H840_Homo 	0.4172188790124579	0.2920532153087205	-0.060736111574658795	18
Y1_VS_Y10	P10606_Homo 	0.7278004461400349	0.6550204015260315	-0.09042350145919345	37
Y1_VS_Y10	Q8NI60_Homo 	0.19685655320955883	0.12598819405411765	-0.0028891727523456564	12
Y1_VS_Y10	Q8TD19_Homo 	0.11679963537520559	0.06540779581011513	-0.2046174176960976	32
Y1_VS_Y10	P0CX82;P0CX83_Sacch	4.999999999999999e-16	1e-16	3.1574209594801275	29
Y1_VS_Y10	Q6IN84_Homo 	0.018063555908544304	0.008670506836101266	0.16475293475007924	18
Y1_VS_Y10	Q96A35_Homo 	0.14480693490979912	0.08688416094587947	0.05130997012911627	36
Y1_VS_Y10	F6VZ39;Q9H0Z9_Homo 	0.35125908144785645	0.2388561753845424	0.05045441582668592	14
Y1_VS_Y10	Q9BRD0_Homo 	0.5394632944785986	0.4105018072496396	-0.10385110875255905	21
Y1_VS_Y10	P54115_Sacch	4.999999999999999e-16	1e-16	3.1726602281680805	46
Y1_VS_Y10	P02406_Sacch	4.999999999999999e-16	1e-16	3.4950923425118443	23
Y1_VS_Y10	P33527_Homo 	0.7310328500986369	0.672550222090746	0.012061270251190562	14
Y1_VS_Y10	Q9BZ95_Homo 	0.605374864073908	0.5206223831035608	0.039794521052986795	10
Y1_VS_Y10	D6R9Z7;P15954_Homo 	0.0005829931504480745	0.00023319726017922981	-0.3900250996786594	15
Y1_VS_Y10	A0A087WXY4;A0A087X1A8;A0A0A0MS38;A0A2R8Y3X7;D3VVH9;E9PJN5;F5H211;G3V3R7;G3V4U9;G3V526;P54252_Homo 	0.0054877075097157025	0.0025243454544692234	0.2606921103892975	10
